Date,Open,High,Low,Close,Adj Close,Volume,MA5,CHMF,BBL,BBH,OBV,RSI,MACD,UD
2017-01-31,173.67999267578125,176.17999267578125,173.00999450683594,175.07000732421875,175.07000732421875,1325800,175.07000732421875,0.0,174.75333150227866,174.75333150227866,-1325800.0,0.0,0.0,0.0
2017-02-01,176.72999572753906,176.72999572753906,172.5500030517578,173.82000732421875,173.82000732421875,1216400,174.44500732421875,0.0,175.33332570393884,173.78667449951172,-109400.0,0.0,0.0,-0.7140000843691485
2017-02-02,173.50999450683594,175.17999267578125,172.4600067138672,173.39999389648438,173.39999389648438,962600,174.09666951497397,0.0,176.0420885264137,172.49124345058289,853200.0,0.0,0.0,0.0
2017-02-03,174.9600067138672,176.58999633789062,173.55999755859375,175.1699981689453,175.1699981689453,1578100,174.3650016784668,0.0,176.59347535578985,172.35985563786255,-724900.0,0.0,0.0,1.0207637455383
2017-02-06,175.7899932861328,179.0800018310547,175.14999389648438,177.80999755859375,177.80999755859375,2320900,175.0540008544922,0.0,180.0176719761617,170.08365859024462,-3045800.0,0.0,0.0,1.5071070487209015
2017-02-07,179.5800018310547,179.60000610351562,176.75,178.1699981689453,178.1699981689453,1535200,175.0540008544922,0.0,182.06944296528278,169.07277742588477,-1510600.0,0.0,0.0,0.0
2017-02-08,179.16000366210938,182.41000366210938,177.52999877929688,181.5,181.5,2114200,175.6739990234375,0.0,185.40509976483887,167.13966080296248,-3624800.0,0.0,0.0,1.8690025623152806
2017-02-09,181.22999572753906,183.4600067138672,181.05999755859375,181.5,181.5,1743700,177.20999755859376,0.0,188.41389136017165,165.5644411593596,-5368500.0,0.0,0.0,0.0
2017-02-10,182.5800018310547,184.16000366210938,181.2100067138672,183.99000549316406,183.99000549316406,2149800,178.8299987792969,0.0,190.91494213927956,164.42579905357348,-7518300.0,0.0,0.0,1.3719038529829586
2017-02-13,184.5,185.44000244140625,183.3300018310547,184.30999755859375,184.30999755859375,2428500,180.59400024414063,0.0,193.24968112629048,163.42898606934753,-5089800.0,0.0,33.29180075541441,0.0
