,Date,Open,High,Low,Close,Adj Close,Volume,MA5,CHMF,BBH,BBL,OBV,RSI,DIF,MACD,DFF,IR,VIX,PCR,KL,DL,UD,STATE-A,STATE-B,STATE-C,STATE-D,STATE-E,STATE-F,STATE-G
0,2015-01-02,4.118750095367432,4.172082901000977,3.964999914169312,4.027082920074463,4.018368721008301,61113600,4.027082920074463,0.0,4.05472191174825,4.05472191174825,61113600.0,0.0,0.0,0.0,0.0,1.41,17.79,0.8,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0
1,2015-01-05,3.96875,3.983333110809326,3.8125,3.8458330631256095,3.8375113010406494,63508800,3.936457991600036,0.0,4.315971692403156,3.6193056106567387,124622400.0,0.0,0.3067901019017581,0.0,0.6135802038035162,1.41,19.92,0.79,0.0,0.0,-4.500772905503069,-1.0,0.0,0.0,0.0,0.0,-2.0,0.0
2,2015-01-06,3.859582901000977,3.882082939147949,3.640417098999024,3.69333291053772,3.6853413581848153,84321600,3.8554162979125977,0.0,4.408396233932834,3.3741959567036943,208944000.0,0.0,0.531491279516902,0.0,1.062982559033804,1.41,21.12,0.59,0.0,0.0,-3.9653346904233167,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0
3,2015-01-07,3.763750076293945,3.859999895095825,3.738332986831665,3.835417032241821,3.827117681503296,68733600,3.8504164814949036,0.0,4.3400772273379555,3.402491901334326,140210400.0,0.0,0.7128166759095284,0.0,1.4256333518190567,1.41,19.31,0.73,0.0,0.0,3.847043446820342,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0
4,2015-01-08,3.93416690826416,4.077083110809326,3.920833110809326,4.054166793823242,4.045393943786621,72468000,3.8911665439605714,0.0,4.380540855644154,3.4204588493525905,67742400.0,0.0,0.8642075893813628,0.0,1.7284151787627255,1.41,17.01,0.54,0.0,0.0,5.703415293370617,1.0,0.0,0.0,0.0,-1.0,-2.0,-2.0
5,2015-01-09,4.092082977294922,4.0966668128967285,3.904582977294922,3.97208309173584,3.963488340377808,90710400,3.8911665439605714,0.0,4.37416257993571,3.457040827775742,158452800.0,0.0,0.9664221967568096,0.0,1.9328443935136193,1.41,17.55,0.64,8.908109892159839,0.0,-2.0246750136788116,0.0,0.0,0.0,0.0,1.0,-2.0,-1.0
6,2015-01-12,3.9987499713897705,4.009167194366455,3.81833291053772,3.849999904632568,3.8416690826416016,82627200,3.8801665782928465,0.0,4.338075985405846,3.4865269363979463,241080000.0,0.0,1.0257526782449262,0.0,2.0515053564898524,1.41,19.6,0.68,31.530960683441737,2.96936996405328,-3.0735305451508155,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0
7,2015-01-13,3.958750009536743,4.082499980926514,3.754167079925537,3.846667051315308,3.838343381881714,99854400,3.880999946594238,0.0,4.309044884455894,3.51109384813637,340934400.0,0.0,1.0602813158613624,0.0,2.120562631722725,1.41,20.56,0.66,49.007489494617495,13.479690191867192,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0
8,2015-01-14,3.72458291053772,3.838749885559082,3.680833101272583,3.787499904632568,3.779304265975952,108074400,3.9116667747497558,0.0,4.310246742851129,3.478549381783789,232860000.0,0.0,1.070530802966655,0.0,2.14106160593331,1.41,21.48,0.75,49.92177765181676,29.81552002340636,-1.5381405745139465,-1.0,0.0,0.0,0.0,0.0,-2.0,0.0
9,2015-01-15,3.830832958221436,3.8520829677581783,3.621249914169312,3.637083053588867,3.629213094711304,98006400,3.9020833492279055,0.0,4.331517137962799,3.4190937699097184,330866400.0,0.0,1.0543621816357867,0.7264769600599226,0.6557704431517282,1.41,22.39,0.72,36.91236824923043,43.48674260995867,-3.9714021077524753,-1.0,0.0,0.0,-1.0,0.0,-2.0,-1.0
