,Date,Open,High,Low,Close,Adj Close,Volume,Average,Value,MA5,CHMF,Upper,Lower,BBH,BBM,BBL,OBV,RSI,DIF,MACD,DFF,IR,VIX,PCR,KL,DL,OUD,CUD,RPB,MACDC,Candlestick,KDLine,OBVC,RSIP,PCRP,PCRC,RSIC
0,2018-01-02,11.741666793823242,12.178333282470703,11.657500267028809,12.153332710266112,12.128244400024414,45867600,11.917916774749756,546646239.4575119,12.153332710266112,0.0,13.368665981292724,10.937999439239501,0.0,0.0,0.0,45867600.0,0.0,0.0,0.0,0.0,1.41,9.77,0.47,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0
1,2018-01-03,12.202500343322754,12.55500030517578,12.200833320617676,12.509166717529297,12.483344078063965,42612000,12.377916812896729,527447791.2311554,12.331249713897705,0.0,13.760083389282228,11.258250045776368,0.0,0.0,0.0,88479600.0,0.0,0.0,0.0,0.0,1.41,9.15,0.54,0.0,0.0,3.924771138471894,2.9278718500202583,2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.05500000000000005,0.0
2,2018-01-04,12.65583324432373,12.700833320617676,12.53833293914795,12.582500457763672,12.556527137756348,35012400,12.619583129882812,441841892.376709,12.414999961853027,0.0,13.84075050354004,11.324250411987306,0.0,0.0,0.0,123492000.0,0.0,0.0,0.0,0.0,1.41,9.22,0.5,0.0,0.0,3.7150820589736178,0.5862400101487975,2.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-0.06,0.0
3,2018-01-05,12.758333206176758,12.989999771118164,12.692500114440918,12.962499618530272,12.935741424560549,41190000,12.841249942779541,528931085.1430893,12.551874876022339,0.0,14.2587495803833,11.666249656677245,0.0,0.0,0.0,164682000.0,0.0,0.0,0.0,0.0,1.41,9.22,0.58,0.0,0.0,0.8099029109679412,3.020060774423672,2.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.014999999999999958,0.0
4,2018-01-08,12.960832595825195,13.133333206176758,12.94833278656006,13.106666564941406,13.079609870910645,36126000,13.040832996368408,471113132.8268051,12.662833213806152,0.0,14.417333221435548,11.795999908447266,0.0,0.0,0.0,200808000.0,0.0,0.0,0.0,0.0,1.41,9.52,0.63,0.0,0.0,1.5871931417373641,1.1121847687852071,2.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.040000000000000036,0.0
5,2018-01-09,13.186667442321776,13.230833053588867,13.0,13.116666793823242,13.089591026306152,52084800,13.115416526794434,683113846.7147827,12.662833213806152,0.0,14.428333473205567,11.805000114440919,0.0,0.0,0.0,252892800.0,0.0,0.0,0.0,0.0,1.41,10.08,0.6,0.0,0.0,1.7424408873957908,0.0,2.0,0.0,1.0,0.0,0.0,-2.0,-1.0,-0.040000000000000036,0.0
6,2018-01-10,12.93416690826416,13.028332710266112,12.767499923706056,13.023332595825195,12.996448516845703,47926800,12.897916316986084,618155855.7409286,12.855500030517579,0.0,14.325665855407715,11.720999336242675,0.0,0.0,0.0,204966000.0,0.0,0.0,0.0,0.0,1.41,9.82,0.65,0.0,0.0,-1.9148168797161857,-0.711569482286456,2.0,0.0,1.0,0.0,0.0,-2.0,-1.0,0.10000000000000003,0.0
7,2018-01-11,13.089166641235352,13.284167289733888,13.028332710266112,13.284167289733888,13.25674533843994,37419600,13.15625,492301612.5,12.958333206176757,0.0,14.61258401870728,11.9557505607605,0.0,0.0,0.0,242385600.0,0.0,0.0,0.0,0.0,1.41,9.88,0.5,0.0,0.0,1.1983743063664676,2.00282602006423,2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-0.07500000000000001,0.0
8,2018-01-12,13.23916721343994,13.61750030517578,13.201666831970217,13.56583309173584,13.537830352783203,44780400,13.409583568572998,600486516.0341263,13.098666572570801,0.0,14.922416400909425,12.209249782562257,0.0,0.0,0.0,287166000.0,0.0,0.0,0.0,0.0,1.41,10.16,0.5,0.0,0.0,1.1459902399900246,2.1203120666782427,2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0050000000000000044,0.0
9,2018-01-16,13.84000015258789,14.055832862854004,13.34000015258789,13.460832595825195,13.433045387268066,82510800,13.697916507720947,1130226049.3852615,13.219333267211914,0.0,14.806915855407716,12.114749336242676,0.0,0.0,0.0,204655200.0,0.0,0.0,0.0,0.0,1.41,11.66,0.49,0.0,0.0,4.538298591304191,-0.7740069865271315,2.0,0.0,0.0,0.0,-1.0,-2.0,-2.0,0.0,0.0
10,2018-01-17,13.640000343322754,13.954167366027832,13.455833435058594,13.885000228881836,13.856337547302246,41312400,13.705000400543213,566186458.5474014,13.290166473388672,0.0,15.27350025177002,12.496500205993653,0.0,0.0,0.0,245967600.0,0.0,0.0,0.0,0.0,1.41,11.91,0.48,0.0,0.0,-1.4450853111279693,3.151124791405513,2.0,0.0,0.0,0.0,1.0,-2.0,-2.0,-0.04500000000000004,0.0
11,2018-01-18,13.824167251586914,13.990833282470703,13.72583293914795,13.898332595825195,13.869643211364746,47197200,13.858333110809326,654074519.4974899,13.443833160400391,0.0,15.288165855407716,12.508499336242677,0.0,0.0,0.0,293164800.0,0.0,0.0,0.0,0.0,1.41,12.22,0.56,0.0,0.0,1.3501972406790852,0.0,2.0,0.0,1.0,0.0,0.0,-2.0,-1.0,0.040000000000000036,0.0
12,2018-01-19,14.017499923706056,14.091667175292969,13.820833206176758,14.03166675567627,14.00270175933838,42474000,13.956250190734863,592777770.6012726,13.61883316040039,0.0,15.434833431243899,12.628500080108642,0.0,0.0,0.0,335638800.0,0.0,0.0,0.0,0.0,1.41,11.27,0.56,0.0,0.0,1.3985122474335698,0.9593536413938342,2.0,0.0,1.0,0.0,0.0,-2.0,-1.0,0.0,0.0
13,2018-01-22,13.998332977294922,14.470000267028809,13.962499618530272,14.470000267028809,14.440129280090332,51931200,14.216249942779541,738266919.0284729,13.768333053588867,0.0,15.917000293731691,13.023000240325928,0.0,0.0,0.0,387570000.0,0.0,0.0,0.0,0.0,1.41,11.03,0.56,0.0,0.0,0.0,3.1238876962013107,2.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.020000000000000018,0.0
14,2018-01-23,14.609167098999023,14.8725004196167,14.58666706085205,14.83666706085205,14.80604076385498,64671600,14.729583740234375,952585747.8149414,13.94916648864746,0.0,16.320333766937257,13.353000354766847,0.0,0.0,0.0,452241600.0,0.0,0.0,0.0,0.0,1.41,11.1,0.52,99.62259779012547,97.92930047703653,4.363620458913675,2.533979178001289,2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-0.025000000000000022,-46.780284851025726
15,2018-01-24,14.917499542236328,15.021666526794434,14.287500381469728,14.535833358764648,14.505826950073242,104536800,14.65458345413208,1531943259.6279144,14.224333381652832,0.0,15.989416694641115,13.082250022888184,0.0,0.0,0.0,347704800.0,93.56056970205145,0.0,0.0,0.0,1.41,11.47,0.53,82.30594535111871,93.82702008600336,2.1105408757931876,-2.027636671049793,2.0,0.0,0.0,-1.0,0.0,2.0,-2.0,-0.010000000000000009,51.81127762709179
16,2018-01-25,14.839166641235352,14.850000381469728,14.38083267211914,14.517499923706056,14.487531661987305,66650400,14.615416526794434,974123357.6774597,14.354500007629394,0.0,15.969249916076663,13.065749931335452,0.0,0.0,0.0,281054400.0,83.49858414991932,0.0,0.0,0.0,1.41,11.58,0.56,73.81064388778336,85.24639567634252,-0.5251074469899586,0.0,2.0,0.0,0.0,0.0,-1.0,2.0,-1.0,0.050000000000000044,-4.569557838917682
17,2018-01-26,14.75,15.165833473205566,14.673333168029783,15.165833473205566,15.134527206420898,53218800,14.919583320617676,794002320.823288,14.478333473205566,0.0,16.682416820526125,13.64925012588501,0.0,0.0,0.0,334273200.0,82.57571427562256,0.0,0.0,0.0,1.41,11.08,0.49,92.08489072655709,82.73382665515305,-0.6008871211646949,4.4658760317320745,2.0,0.0,0.0,1.0,0.0,2.0,-2.0,-0.07500000000000001,-1.183338542736827
18,2018-01-29,15.075833320617676,15.178333282470703,14.86750030517578,14.96500015258789,14.934107780456545,66174000,15.022916793823242,994126495.9144592,14.705166816711426,0.0,16.46150016784668,13.468500137329102,0.0,0.0,0.0,268099200.0,84.01952148679945,0.0,0.0,0.0,1.41,13.84,0.57,89.34341340710945,85.0796493404833,2.2090394618147435,-1.3242484890296335,2.0,0.0,1.0,0.0,0.0,2.0,-1.0,0.019999999999999962,3.632033141212432
19,2018-01-30,14.548333168029783,14.779167175292969,14.356666564941406,14.582500457763672,14.552397727966309,66253200,14.567916870117188,965171109.979248,14.804166793823242,0.0,16.04075050354004,13.124250411987305,15.461426479579641,13.732666635513306,12.00390679144697,201846000.0,78.19926241555147,0.0,0.0,0.0,1.41,14.79,0.61,66.7488476659861,82.72571726655089,-3.4989784071603136,-2.5559618504786497,1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.030000000000000027,1.1974613024462855
20,2018-01-31,14.837499618530272,14.921667098999023,14.5,14.762499809265137,14.732027053833008,55498800,14.710833549499512,816433608.9969635,14.753333473205567,0.0,16.23874979019165,13.286249828338624,15.486019075921659,13.863124990463257,12.240230905004855,257344800.0,69.98408073941093,0.0,0.0,0.0,1.41,13.54,0.59,66.94936209385457,74.34720772231672,1.987625985469843,1.2343517630793777,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,-0.010000000000000009,-5.697124448094691
21,2018-02-01,14.435832977294922,14.850000381469728,14.239999771118164,14.393333435058594,14.363621711730955,63984000,14.545000076293945,930647284.8815918,14.798666763305665,0.0,15.832666778564455,12.954000091552734,15.469903314272946,13.957333326339722,12.444763338406498,193360800.0,73.16314795945976,0.0,0.0,0.0,1.42,13.47,0.59,42.154744129332926,58.617651296391216,-2.707104644058189,-2.50070366791707,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,-0.09000000000000002,5.992039042487249
22,2018-02-02,14.232500076293944,14.319167137145996,13.49250030517578,13.514166831970217,13.4862699508667,95092800,13.905833721160889,1322344664.8796082,14.773833465576171,0.0,14.86558351516724,12.162750148773195,15.396911322394851,14.00391664505005,12.610921967705247,98268000.0,64.3581370945341,0.0,0.0,0.0,1.42,17.31,0.77,8.663682706652878,39.25592964328014,-1.408529049350915,-6.1081514372962715,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11000000000000004,3.066172129804265
23,2018-02-05,13.145833015441896,13.803333282470703,11.884166717529297,11.954167366027832,11.92949104309082,115314000,12.84375,1481064187.5,14.443500137329101,0.0,13.149584102630616,10.75875062942505,15.551514853552058,13.953500032424927,12.355485211297795,-17046000.0,49.42078196999991,0.0,0.0,0.0,1.42,37.32,0.73,-0.9238682003532617,16.63151954521086,-7.635110170573833,-11.543437973933568,-2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.030000000000000027,-1.3903016258126257
24,2018-02-06,11.401666641235352,12.916666984558104,11.2524995803833,12.875832557678224,12.84925365447998,119691600,12.084583282470703,1446423108.4121704,13.84133358001709,0.0,14.163415813446049,11.588249301910402,15.567371072890465,13.941958332061768,12.316545591233071,102645600.0,37.264030097090966,0.0,0.0,0.0,1.42,29.98,0.75,26.860231223247872,11.533348576515843,-13.26782693921139,7.709990695543079,-2.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.044999999999999984,-8.511982480799283
25,2018-02-07,12.755000114440918,13.165833473205566,12.366666793823242,12.366666793823242,12.34113883972168,88056000,12.766250133514404,1124144921.7567444,13.5,0.0,13.603333473205568,11.130000114440918,15.635477985190994,13.904458332061768,12.173438678932543,14589600.0,42.13124318578059,0.0,0.0,0.0,1.42,27.73,0.68,27.701487023462185,17.879283348785613,11.869610959428423,-3.9544298325885907,-2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.06999999999999995,4.042049624525809
26,2018-02-08,12.49416732788086,12.511667251586914,10.833333015441896,10.834166526794434,10.81180191040039,108202800,11.672500133514404,1262997197.4466324,13.020833396911621,0.0,11.917583179473878,9.750749874114991,15.957999427599642,13.795000028610229,11.632000629620816,-93613200.0,38.914357025418596,0.0,0.0,0.0,1.42,33.46,0.75,6.810617843590077,20.457445363433393,-2.044945387846364,-12.392185320253347,-2.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-0.030000000000000027,2.4710687882852795
27,2018-02-09,11.266667366027832,11.595832824707031,10.100000381469728,11.34416675567627,11.32075023651123,160172400,10.847916603088379,1737536837.316513,12.309000015258789,0.0,12.478583431243898,10.209750080108643,16.10425375166637,13.69800000190735,11.291746252148329,66559200.0,30.755333288486042,0.0,0.0,0.0,1.42,29.06,0.88,19.228397732351212,17.91350086646784,-9.824583980989665,4.707332378734752,-2.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.16999999999999998,-4.375635570209397
28,2018-02-12,11.731666564941406,12.199167251586914,11.435832977294922,11.979166984558104,11.954438209533691,87528000,11.817500114440918,1034362150.0167847,11.875,0.0,13.177083683013915,10.781250286102294,16.139036864747943,13.618666696548463,11.098296528348982,154087200.0,31.347580691972283,0.0,0.0,0.0,1.42,25.61,0.67,33.853951157552316,19.964322244497883,4.127211568486322,5.597592512152549,-2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.13499999999999995,-0.7690249256966482
29,2018-02-13,11.769166946411133,12.216667175292969,11.697500228881836,12.125,12.099970817565918,54027600,11.957083702087402,646012535.4228973,11.879999923706055,0.0,13.3375,10.9125,16.15488236926611,13.551875066757201,10.948867764248291,208114800.0,33.47787794685182,0.0,0.0,0.0,1.42,24.97,0.73,41.53383876143386,31.53872921711248,0.3196509316228946,1.2173886183395322,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.09999999999999998,-0.09896110375377987
30,2018-02-14,11.94333267211914,12.885000228881836,11.930832862854004,12.835000038146973,12.808504104614258,84057600,12.40791654586792,1042979685.8459473,11.72983341217041,0.0,14.11850004196167,11.551500034332276,16.11571018474333,13.499375057220458,10.883039929697585,292172400.0,35.806097409238916,0.0,0.0,0.0,1.42,19.26,0.59,60.37197888694164,45.25325626864262,1.4798475244768072,5.855670417706982,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.08000000000000002,-1.3529471622201967
31,2018-02-15,13.166666984558104,13.523332595825195,12.765000343322754,13.50583267211914,13.477952003479004,95187600,13.144166469573975,1251161660.2392197,11.823500061035157,0.0,14.856415939331056,12.155249404907227,16.089700990505865,13.479750061035157,10.869799131564449,387360000.0,40.840211196066406,0.0,0.0,0.0,1.42,19.13,0.61,86.55191971920611,62.81924578919389,10.242822049952194,5.2265884844439725,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.05499999999999999,2.44477005047629
32,2018-02-16,13.407500267028809,13.789167404174805,13.279167175292969,13.354999542236328,13.327430725097656,85276800,13.534167289733887,1154150477.1331787,12.357833290100098,0.0,14.690499496459962,12.019499588012696,16.043888062770957,13.44591670036316,10.847945337955363,302083200.0,40.984784881941316,0.0,0.0,0.0,1.42,19.46,0.52,91.64904283691195,79.52431381435325,1.8291134935907172,-1.116799930404777,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,-0.11499999999999999,-0.039612398520052494
33,2018-02-20,13.201666831970217,13.770000457763672,13.189167022705078,13.421667098999023,13.393961906433104,72934800,13.479583740234375,983130744.1772461,12.759999847412109,0.0,14.763833808898926,12.079500389099122,15.948658227653794,13.39350004196167,10.838341856269544,375018000.0,41.20858336485633,-0.06088349680338645,-0.047702996984722565,-0.013180499818663885,1.42,20.6,0.66,93.42421965625451,90.54172740412422,-1.5352111203366436,0.4991955001709458,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.11000000000000004,-1.0012174570028485
34,2018-02-21,13.61416721343994,14.017499923706056,13.291666984558104,13.300832748413086,13.273375511169434,88738800,13.65458345413208,1211691350.2195358,13.048499870300294,0.0,14.630916023254395,11.970749473571777,15.784585292505763,13.316708326339722,10.84883136017368,286279200.0,43.43481676177704,-0.03958623645733894,-0.04607964487924584,0.006493408421906897,1.42,20.02,0.58,86.77226589699713,90.61517613005454,3.124608329538958,-0.9002931580306406,0.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,-0.06500000000000006,1.9916582075688822
35,2018-02-22,13.49416732788086,13.695833206176758,13.201666831970217,13.303333282470703,13.275871276855469,83301600,13.448750019073486,1120302394.588852,13.28366641998291,0.0,14.633666610717775,11.972999954223633,15.658832220637084,13.255083322525024,10.851334424412965,369580800.0,41.67773374355999,-0.022249750717721284,-0.04131366604694093,0.019063915329219645,1.42,18.72,0.63,83.89058458863347,88.02902338062837,-0.8814339039454167,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.030000000000000027,-1.8014087993632018
36,2018-02-23,13.604999542236328,14.104999542236328,13.46166706085205,14.095832824707031,14.06673526763916,71384400,13.78333330154419,983914977.730751,13.377333068847657,0.0,15.505416107177735,12.686249542236329,15.600191748443127,13.233999967575073,10.86780818670702,440965200.0,43.52346832406934,0.05480586114519248,-0.022089760608514246,0.07689562175370673,1.42,16.49,0.62,96.05502828622298,88.90595959061788,0.8213342228717835,5.957150177396331,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.010000000000000009,-4.061444443862538
37,2018-02-26,14.317500114440918,14.668333053588867,14.286666870117188,14.661666870117188,14.63140106201172,66975600,14.477499961853027,969639246.4450836,13.495333099365235,0.0,16.12783355712891,13.19550018310547,15.501731262102979,13.208791637420655,10.91585201273833,507940800.0,53.49209179230377,0.15969025741073395,0.014266242995335396,0.14542401441539854,1.42,15.8,0.59,100.08580634085489,93.34380640523715,5.237049586019116,4.014193786537867,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.03500000000000003,-2.4987057343199552
