,Date,Open,High,Low,Close,Adj Close,Volume,MA5,CHMF,BBH,BBL,OBV,RSI,DIF,MACD,DFF,IR,VIX,PCR,KL,DL,UD,STATE-A,STATE-B,STATE-C,STATE-D,STATE-E,STATE-F,STATE-G
0,2017-01-03,5.400416851043701,5.49541711807251,5.348750114440918,5.4295830726623535,5.418375015258789,48823200,5.4295830726623535,0.0,5.424583435058594,5.424583435058594,-48823200.0,0.0,0.0,0.0,0.0,1.41,12.85,0.69,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.0,-1.0
1,2017-01-04,5.454583168029785,5.552499771118164,5.447500228881836,5.522082805633545,5.510684013366699,33256800,5.475832939147949,0.0,5.6315271854400635,5.300417184829712,-82080000.0,0.0,0.4405080300790292,0.0,0.8810160601580584,1.41,11.85,0.64,0.0,0.0,1.7036249696025907,1.0,0.0,0.0,0.0,0.0,-2.0,-1.0
2,2017-01-05,5.517499923706055,5.627082824707031,5.512499809265137,5.619999885559082,5.608398914337158,30686400,5.52388858795166,0.0,5.770632765842295,5.241681818677833,-112766400.0,0.0,0.7884264186526246,0.0,1.5768528373052493,1.41,11.67,0.69,0.0,0.0,1.7731910833651998,1.0,0.0,0.0,0.0,0.0,-2.0,-1.0
3,2017-01-06,5.630416870117188,5.806666851043701,5.587500095367432,5.762499809265137,5.750604629516602,47899200,5.583541393280029,0.0,5.993188895476746,5.125491502192729,-160665600.0,0.0,1.0633946495554674,0.0,2.1267892991109347,1.41,11.32,0.68,15.132906148927903,0.0,2.535585882701108,1.0,0.0,0.0,0.0,0.0,-2.0,-1.0
4,2017-01-09,5.77666711807251,5.849999904632568,5.764999866485596,5.820833206176758,5.808817386627197,33086400,5.630999755859375,0.0,6.170155943271792,5.049566105169778,-193752000.0,0.0,1.2713605185400407,0.0,2.5427210370800815,1.41,11.56,0.62,37.93736592833741,5.044302049642634,1.0122932553998654,1.0,0.0,1.0,0.0,0.0,-2.0,-1.0
5,2017-01-10,5.818333148956299,5.9091668128967285,5.787917137145996,5.8541669845581055,5.842082500457764,33168000,5.630999755859375,0.0,6.274615486138441,5.025291880296291,-226920000.0,0.0,1.4224674065493719,0.0,2.8449348130987437,1.41,11.49,0.64,62.17151957765535,17.69009069242177,0.5726633490541477,1.0,0.0,1.0,0.0,0.0,-2.0,-1.0
6,2017-01-11,5.858333110809326,5.903333187103272,5.772500038146973,5.899167060852051,5.886989593505859,47052000,5.715916538238526,0.0,6.32743440582892,5.032010030743927,-273972000.0,0.0,1.528235288921449,0.0,3.056470577842898,1.41,11.26,0.63,73.05692081227846,38.41393055164022,0.7686845355222127,1.0,0.0,1.0,0.0,0.0,-2.0,-1.0
7,2017-01-12,5.840833187103272,5.886666774749756,5.7108330726623535,5.869166851043701,5.857051372528076,40258800,5.791333389282227,0.0,6.332062605938254,5.063006834267639,-314230800.0,0.0,1.5912928975311402,0.0,3.1825857950622805,1.41,11.54,0.68,75.50652127445132,57.72193543942374,-0.5085499274539385,1.0,0.0,1.0,0.0,0.0,-2.0,-1.0
8,2017-01-13,5.888332843780518,5.965000152587891,5.886666774749756,5.936666965484619,5.924411773681641,29306400,5.84116678237915,0.0,6.388793751723723,5.057811224223906,-343537200.0,0.0,1.6279472393598757,0.0,3.2558944787197515,1.41,11.23,0.63,79.2030121784692,70.24498722146171,1.1500800054596194,1.0,0.0,1.0,0.0,0.0,-2.0,-1.0
9,2017-01-17,5.883333206176758,5.9166669845581055,5.829999923706055,5.880833148956299,5.868693828582764,27765600,5.876000213623047,0.0,6.39589362819572,5.081217520638509,-315771600.0,0.0,1.633658943584006,1.0815147165765555,1.1042884540149012,1.41,11.87,0.65,79.33095035306509,75.92215142173298,-0.9404909666136607,1.0,0.0,1.0,0.0,0.0,-2.0,-1.0
10,2017-01-18,5.908332824707031,5.932499885559082,5.860833168029785,5.920833110809326,5.908610820770264,24664800,5.888000202178955,0.0,6.408888994788129,5.0984342413883335,-340436400.0,0.0,1.6227076097355293,1.2630323769747784,0.7193504655215017,1.41,12.48,0.67,81.50536131812893,78.0134946019952,0.6801750847178267,1.0,0.0,1.0,0.0,0.0,-2.0,-1.0
11,2017-01-19,5.9375,6.00333309173584,5.87166690826416,5.90500020980835,5.892810821533203,29865600,5.901333427429199,0.0,6.423920200579134,5.1122372220164225,-310570800.0,0.0,1.5943720870138756,1.3943878858255006,0.39996840237675,1.41,12.78,0.56,76.68263278492684,80.01310794988774,0.0,1.0,0.0,1.0,-1.0,1.0,-2.0,-1.0
12,2017-01-20,5.983333110809326,6.029167175292969,5.900000095367432,5.943333148956299,5.931064128875732,28423200,5.902500057220459,0.0,6.444317864415944,5.120981316421836,-282147600.0,0.0,1.5570603069558469,1.4839374045323062,0.14624580484708138,1.41,11.54,0.7,72.69719731892974,79.17298148537363,0.6491606737672573,1.0,0.0,1.0,0.0,0.0,-2.0,-1.0
13,2017-01-23,5.925000190734863,5.983333110809326,5.847499847412109,5.956666946411133,5.944370746612549,27625200,5.917333316802979,0.0,6.448336194671431,5.137893992517582,-309772800.0,0.0,1.5111468185938932,1.5387891442434596,-0.05528465129913274,1.41,11.77,0.72,56.69161316772093,76.96173047399516,0.0,1.0,-1.0,1.0,0.0,0.0,-2.0,-1.0
14,2017-01-24,5.989167213439941,6.1066670417785645,5.96416711807251,6.080832958221436,6.068280220031738,25845600,5.921333312988281,0.0,6.493413821422726,5.127141780756908,-335618400.0,0.0,1.4678586469607753,1.5654320664716654,-0.19514683902178032,1.41,11.07,0.65,46.41088528810152,68.69048109052584,2.084488069038559,1.0,0.0,0.0,0.0,-1.0,-2.0,-1.0
15,2017-01-25,6.19083309173584,6.267499923706055,6.177499771118164,6.258333206176758,6.2454142570495605,28074000,5.961333274841309,0.0,6.615363854723328,5.0582125598617855,-363692400.0,88.10333937435276,1.4313752428462418,1.5704755376284878,-0.2782005895644919,1.41,10.81,0.61,34.98302955700395,58.599898591584065,2.9190120691497734,1.0,0.0,0.0,0.0,0.0,2.0,-1.0
16,2017-01-26,6.286666870117188,6.321667194366455,6.250833034515381,6.2841668128967285,6.2711944580078125,25428000,6.028833293914795,0.0,6.7285869457941105,4.997785642120449,-338264400.0,89.17958376026606,1.3885402111803646,1.5597133102867984,-0.3423461982128675,1.41,10.63,0.65,41.38462816073724,46.0285093376088,0.4127873328072962,1.0,0.0,1.0,0.0,0.0,2.0,-1.0
17,2017-01-27,6.316667079925537,6.335000038146973,6.256667137145996,6.314167022705078,6.301132678985596,16624800,6.104666614532471,0.0,6.81972279135704,4.955400734191824,-321639600.0,88.28048003579435,1.3415493602453124,1.5371852340256007,-0.3912717475605767,1.41,10.58,0.73,51.86080686063527,40.926181001947576,0.477393594116271,1.0,0.0,1.0,1.0,1.0,2.0,-1.0
18,2017-01-30,6.247499942779541,6.250833034515381,6.065000057220459,6.170833110809326,6.158095359802246,37521600,6.178833389282227,0.0,6.841897763636557,4.962137372937636,-284118000.0,86.53420085994776,1.2780108104413177,1.5053632474573162,-0.454704874031997,1.41,11.88,0.82,68.47247409016113,42.74282152612549,-2.270036750379556,1.0,0.0,0.0,0.0,0.0,2.0,0.0
19,2017-01-31,6.107500076293945,6.136666774749756,6.024167060852051,6.136666774749756,6.123999118804932,29808000,6.221666622161865,0.0,6.843940270586182,4.979809796171021,-313926000.0,70.83328839340808,1.2109401499070396,1.4658467882192396,-0.5098132766244001,1.41,11.99,0.7,79.25087790614236,53.90596970384454,-0.5536746083721122,1.0,0.0,1.0,0.0,0.0,1.0,-1.0
20,2017-02-01,6.256667137145996,6.293333053588867,6.173333168029785,6.25333309173584,6.240424156188965,36255600,6.232833385467529,0.0,6.843940270586182,4.979809796171021,-277670400.0,66.79878209574125,1.1538987385938082,1.4200948482382962,-0.5323922192889761,1.42,11.81,0.71,74.12411256956786,66.52805295231292,1.9011349527095822,1.0,0.0,1.0,0.0,0.0,1.0,-1.0
21,2017-02-02,6.2216668128967285,6.295833110809326,6.170000076293945,6.237500190734863,6.224624156951904,28947600,6.231833362579346,0.0,6.8119011368950355,5.093390563468126,-306618000.0,69.40634974384056,1.0947953075580772,1.371153365080511,-0.5527161150448676,1.42,11.93,0.64,62.61993366628317,73.94915485529044,0.0,1.0,0.0,1.0,-1.0,0.0,1.0,-1.0
22,2017-02-03,6.262499809265137,6.3125,6.243332862854004,6.2916669845581055,6.278679370880127,24096000,6.222500038146973,0.0,6.777719919742303,5.200280133027675,-330714000.0,70.50093394644524,1.0403338986178854,1.3197905873696476,-0.5589133775035244,1.42,10.97,0.68,55.213613182023586,71.99830804733112,0.8684054856415324,1.0,0.0,1.0,0.0,-1.0,1.0,-1.0
23,2017-02-06,6.260832786560059,6.318333148956299,6.244166851043701,6.315000057220459,6.301963806152344,20853600,6.218000030517578,0.0,6.760025804265771,5.287571492766904,-351567600.0,70.05650387208044,0.987670374348717,1.267478040705647,-0.55961533271386,1.42,11.37,0.75,56.23927728143261,63.98588647262486,0.37085676529957645,1.0,0.0,1.0,0.0,0.0,1.0,0.0
