,Date,Open,High,Low,Close,Adj Close,Volume,MA5,CHMF,BBH,BBL,OBV,RSI,DIF,MACD,DFF,IR,VIX,PCR,KL,DL,UD
0,2018-01-02,78.2699966430664,84.0999984741211,76.21099853515625,84.08999633789062,83.48320007324219,1217600,84.08999633789062,0.0,81.46699778238933,81.46699778238933,-1217600.0,0.0,0.0,0.0,0.0,1.41,9.77,0.47,0.0,0.0,0.0
1,2018-01-03,84.0,88.80899810791016,83.5999984741211,87.20999908447266,86.58069610595703,1342600,85.64999771118164,0.0,94.14866638183594,73.85799662272137,-2560200.0,0.0,6.956923003889559,0.0,13.913846007779117,1.41,9.15,0.54,0.0,0.0,3.710313809558552
2,2018-01-04,88.66000366210938,88.66000366210938,82.73999786376953,84.54000091552734,83.92996978759766,1113000,85.27999877929688,0.0,93.0840872079582,75.7959108931703,-1447200.0,0.0,12.11523122418472,0.0,24.23046244836944,1.41,9.22,0.5,0.0,0.0,-3.0615734399436434
3,2018-01-05,85.2300033569336,85.3479995727539,81.86000061035156,83.56999969482422,82.96695709228516,921900,84.85249900817871,0.0,91.85667246718256,76.59965942165209,-525300.0,0.0,15.941196470636974,0.0,31.88239294127395,1.41,9.22,0.58,8.255286162864989,0.0,-1.1473872843606348
4,2018-01-08,83.83000183105469,83.83000183105469,76.12999725341797,78.4000015258789,77.83428192138672,1870900,83.56199951171875,0.0,93.5162845542107,73.03011437157056,1345600.0,0.0,18.344660026652228,0.0,36.689320053304456,1.41,9.52,0.63,9.445963500267979,2.7517620542883297,-6.186428368822295
5,2018-01-09,79.3499984741211,85.1500015258789,79.3499984741211,84.37999725341797,83.7711181640625,1485800,83.56199951171875,0.0,92.58326307997747,73.85873571966447,-140200.0,0.0,20.495696260751032,0.0,40.991392521502064,1.41,10.08,0.6,9.445963500267979,5.9004165543776566,7.627545422387705
6,2018-01-10,83.0999984741211,88.08000183105469,80.19000244140625,87.80000305175781,87.16644287109375,1255700,83.61999969482422,0.0,92.69486124247457,74.3573289023822,-1395900.0,0.0,22.220232846755827,0.0,44.440465693511655,1.41,9.82,0.65,1.1906773374029898,9.049071054466983,4.053100153663869
7,2018-01-11,87.6500015258789,89.9000015258789,85.91000366210938,89.30000305175781,88.65562438964844,1051900,83.73800048828124,0.0,94.83761041697947,73.42555664641573,-2447800.0,0.0,23.437801592523044,0.0,46.87560318504609,1.41,9.88,0.5,15.721522003632069,6.694201445979648,1.7084281866320161
8,2018-01-12,89.58999633789062,91.5999984741211,88.5999984741211,90.70999908447266,90.0554428100586,854400,84.69000091552735,0.0,97.54823781854024,72.08642890690102,-3302200.0,0.0,24.237118081502842,0.0,48.474236163005685,1.41,10.16,0.5,40.43430401160465,8.786054280434346,1.5789428718133713
9,2018-01-16,91.97000122070312,92.9000015258789,81.5999984741211,82.41000366210938,81.81533813476562,2314200,86.11800079345703,0.0,97.01681691774394,72.78171671262714,-988000.0,0.0,23.925048823147456,15.972095500766248,15.905906644762418,1.41,11.66,0.49,66.82016250567973,19.11550111754657,-9.150033630398347
10,2018-01-17,86.31999969482422,86.48999786376953,83.01300048828125,85.43000030517578,84.81353759765625,1259600,86.92000122070313,0.0,96.4603764562833,73.3524116111587,271600.0,0.0,23.648811400542158,18.630434258893743,10.03675428329683,1.41,11.91,0.48,77.62308908476568,40.99199617363882,3.664599573916716
11,2018-01-18,84.66000366210938,86.91000366210938,82.44999694824219,85.31999969482422,84.70433044433594,765200,87.13000183105468,0.0,95.96741104782473,73.84320025317353,-493600.0,0.0,23.154108967754496,20.485088525188473,5.338040885132045,1.41,12.22,0.56,60.88089168146439,61.625851867350015,0.0
12,2018-01-19,85.68000030517578,88.3499984741211,84.79900360107422,88.2300033569336,87.59334564208984,717300,86.63400115966797,0.0,95.96474482695474,74.18756331920413,-1210900.0,0.0,22.734794146248625,21.71163049669623,2.0463272991047887,1.41,11.27,0.56,48.468392337216265,68.4413810906366,3.410693474587423
13,2018-01-22,92.81999969482422,103.3000030517578,92.81999969482422,102.83999633789062,102.09790802001952,1794100,86.42000122070313,0.0,104.43668048766173,67.79808179493688,-3005000.0,0.0,23.3126546903161,22.4664746828753,1.6923600148816007,1.41,11.03,0.56,35.6986573421568,62.32412436781545,16.558984954191214
14,2018-01-23,103.2699966430664,110.66000366210938,103.1999969482422,109.6999969482422,108.90841674804688,1122200,88.84600067138672,0.0,115.55886158991758,59.57402754311194,-4127200.0,0.0,24.046959670222478,23.018474089949066,2.056971160546823,1.41,11.1,0.52,47.266930472894956,48.34931378694582,6.6705570348450705
15,2018-01-24,109.87999725341795,110.18699645996094,99.81999969482422,104.36000061035156,103.60694885253906,1497600,94.30399932861329,0.0,120.46548456534816,56.820223862081036,-2629600.0,71.32390159565549,23.922247799374688,23.413058913223672,1.0183777723020313,1.41,11.47,0.53,61.72779369040976,43.81132671742267,-4.867818128026125
16,2018-01-25,107.0,108.8000030517578,103.0,107.76000213623048,106.98241424560548,848300,98.08999938964844,0.0,124.85422296072088,54.53467929207478,-3477900.0,63.77068142998444,23.823146053061194,23.602171685736877,0.4419487346486335,1.41,11.58,0.56,77.8275732575796,48.23112716848717,3.25795468186465
17,2018-01-26,108.51000213623048,112.58000183105467,107.88999938964844,110.61000061035156,109.81184387207033,918600,102.57799987792968,0.0,129.90728981703523,51.777784600644175,-4396500.0,68.42857686084005,23.701363696442783,23.644987736907783,0.11275191906999993,1.41,11.08,0.49,83.46650059854153,62.274099140294766,2.6447646785660917
18,2018-01-29,109.94000244140624,116.54000091552734,109.5199966430664,113.31999969482422,112.50228118896484,825200,107.05399932861329,0.0,134.93276794182682,49.09800421714727,-5221700.0,70.83847751203587,23.552031421540775,23.58545947190111,-0.0668561007206705,1.41,13.84,0.57,84.11004142054166,74.3406225155103,2.450048883029332
19,2018-01-30,108.25,110.5500030517578,103.3000030517578,106.36000061035156,105.59251403808594,986100,109.15,0.0,136.50657415286622,48.9963262886214,-4235600.0,77.97181010062687,22.611420379804457,23.54401309394481,-1.8651854282807037,1.41,14.79,0.61,84.59769792414319,81.80137175888761,-6.141898255573808
20,2018-01-31,107.80999755859376,109.25,99.1500015258789,100.55999755859376,99.83436584472656,1232400,108.48200073242188,0.0,136.50657415286622,48.9963262886214,-3003200.0,67.33439126022583,21.15411609648274,23.428747424973956,-4.549262656982435,1.41,13.54,0.59,86.79841753287002,84.05807998107547,-5.45318072440224
21,2018-02-01,100.19000244140624,104.12999725341795,98.0,101.20999908447266,100.47967529296876,650200,107.72200012207031,0.0,137.16245010263998,50.492417196757785,-3653400.0,59.69899490994692,19.82313290681097,23.20652599483265,-6.766786176043361,1.42,13.47,0.59,78.29364590210798,85.16871895918496,0.646381803559759
22,2018-02-02,98.5,100.77899932861328,95.05999755859376,95.54000091552734,94.85059356689452,919000,106.41199951171875,0.0,137.79274704928497,51.319486939159056,-2734400.0,59.17141442756086,18.102127614738464,22.883008079339575,-9.561760929202222,1.42,17.31,0.77,60.90004359555535,83.22992045304039,-5.602211461550333
23,2018-02-05,92.43000030517578,99.43000030517578,85.0,85.12000274658203,84.50578308105469,1548200,103.3979995727539,0.0,137.5821988108458,52.711335022975824,-1186200.0,53.49039075430566,15.716244667418351,22.304060626497616,-13.17563191815853,1.42,37.32,0.73,34.434975521513685,75.33070234351112,-10.906424606545961
24,2018-02-06,81.30000305175781,92.9800033569336,78.76100158691406,92.29000091552734,91.6240463256836,1436400,97.75800018310547,0.0,136.87033885925095,54.048928413698256,-2622600.0,51.900153882480765,14.239826318551579,21.378425626186047,-14.277198615268937,1.42,29.98,0.75,13.861983962933827,57.87622167305901,8.423399832694688
25,2018-02-07,91.5,96.3000030517578,90.9000015258789,93.4499969482422,92.77566528320312,1063300,94.94400024414062,0.0,135.27466359648633,56.500303851430324,-3685900.0,54.545455464592365,13.01334636898875,20.302601017205703,-14.578509296433907,1.42,27.73,0.68,0.9134366110565546,36.39900102666763,1.2569032627668841
26,2018-02-08,93.87999725341795,95.3000030517578,79.5,79.5,78.92632293701172,1718900,93.52200012207031,0.0,134.06720541531837,58.76676217501365,-1967000.0,55.313030092686546,10.791308516690975,19.101512163419876,-16.620407293457802,1.42,33.46,0.75,6.326264411768804,16.40346536516802,-14.927766082184558
27,2018-02-09,82.33999633789062,82.91000366210938,67.29199981689453,79.87000274658203,79.29365539550781,3321800,89.18000030517578,0.0,134.17960866541839,58.59535878249827,1354800.0,45.014274508901735,8.956933683231284,17.667061587891894,-17.42025580932122,1.42,29.06,0.88,13.676021639943231,7.033894995253061,0.4654122598516164
28,2018-02-12,82.0,87.6500015258789,79.19999694824219,85.05999755859375,84.44621276855469,1291300,86.04600067138672,0.0,136.81249225174102,54.79454179570363,63500.0,34.33365383524648,7.8316887852312504,16.04538406141306,-16.42739055236362,1.42,25.61,0.67,13.676021639943231,6.971907554256197,6.4980526274412975
29,2018-02-13,83.4000015258789,87.08000183105469,81.54000091552734,86.2300033569336,85.6077651977539,952100,86.03399963378907,0.0,137.5339156747039,53.43978503940742,-888600.0,32.802900022534615,6.954170438400993,14.403191662016038,-14.89804244723009,1.42,24.97,0.73,7.634870362479428,11.226102563885087,1.3755065035522485
30,2018-02-14,83.44999694824219,94.22000122070312,83.06999969482422,93.27999877929688,92.60689544677734,1156200,84.8220001220703,0.0,137.63232388871995,53.2727102401049,-2044800.0,36.564399751363354,6.749799055763518,12.82541992222918,-12.151241732931325,1.42,19.26,0.59,4.702226703691705,11.662304547455298,8.17580325629943
31,2018-02-15,95.69000244140624,97.01499938964844,90.79900360107422,96.4000015258789,95.70437622070312,1093900,84.78800048828126,0.0,137.09461071807513,54.33165677866965,-3138700.0,39.82001834616536,6.761647347660784,11.372827272112795,-9.222359848904023,1.42,19.13,0.61,10.791956353564096,8.671039568704787,3.344771427328208
32,2018-02-16,94.66999816894533,98.9499969482422,93.88500213623048,95.33999633789062,94.65201568603516,755000,88.16800079345703,0.0,136.40059298624314,56.01014131754917,-3893700.0,40.047625210412185,6.609315568793065,10.112773909104165,-7.006916680622201,1.42,19.46,0.52,24.22360791424127,7.709684473245076,-1.0995904265662437
